index,post_id,reply_id,actual,geny_votes
41,7892378751459500032,16252800000000000000,CONTEXT SHIFT,1
2,7155693771356047360,18161900000000000000,OTHER,2
101,14571755448335099904,8064450000000000000,ANALOGY,1
36,9117711307358630912,7916660000000000000,OTHER,1
3,5929177359346716672,5855670000000000000,EUPHEMISM,1
108,12840277770070130688,17885300000000000000,OTHER,1
90,2432806416627402752,11492500000000000000,OTHER,1
115,14672930942777870336,4389960000000000000,OTHER,2
85,15169059911459409920,10309200000000000000,CONTEXT SHIFT,1
17,1679217763483685120,5478910000000000000,CONTEXT SHIFT,1
52,13530102438651389952,4840720000000000000,OTHER,1
70,13001943395368790016,10475000000000000000,CONTEXT SHIFT,1
9,12841824500967149568,13599000000000000000,OTHER,2
38,10274209232461860864,1533160000000000000,CONTEXT SHIFT,1
43,11558390939674519552,12676400000000000000,FALSE ASSERTION,1
104,12099038560420169728,16675900000000000000,ANALOGY,1
112,527554389017052224,13774800000000000000,CONTEXT SHIFT,1
27,1004779540710112000,10540900000000000000,OTHER,2
25,10543569204621709312,6478110000000000000,RHETORICAL QUESTION,2
119,14849029575208689664,6295240000000000000,FALSE ASSERTION,1
54,11137418050832379904,3817000000000000000,CONTEXT SHIFT,1
50,9568837740787623936,2564980000000000000,CONTEXT SHIFT,1
67,888612363643747712,9901380000000000000,CONTEXT SHIFT,1
92,4520804865264936960,12052700000000000000,FALSE ASSERTION,2
4,12099038560420169728,10284800000000000000,ANALOGY,1
86,3037383543302795776,6283640000000000000,HYPERBOLE,2
55,10281194885854019584,14278400000000000000,CONTEXT SHIFT,2
7,4625931298966675456,3210680000000000000,HYPERBOLE,2
12,8727623984665907200,457492000000000000,OTHER,2
29,14374185223286280192,15962200000000000000,ANALOGY,1
72,255308143867597184,3714510000000000000,ANALOGY,1
77,7489313936521549824,7078800000000000000,FALSE ASSERTION,2
74,14222935602055790592,11326200000000000000,FALSE ASSERTION,1
11,1439242534760017920,10568700000000000000,OTHER,1
24,17212309861089630208,7213440000000000000,FALSE ASSERTION,2
40,225288318251128288,4629310000000000000,HYPERBOLE,2
99,17101699480099239936,15609300000000000000,FALSE ASSERTION,2
80,4360074657789536256,16013400000000000000,EUPHEMISM,2
51,1096004385442002944,18443900000000000000,HYPERBOLE,2
78,10282731906424629248,15817800000000000000,ANALOGY,2
31,4320113204215145984,16985200000000000000,OTHER,1
0,7961696982295378944,15902900000000000000,CONTEXT SHIFT,2
73,8182077132297058304,4587260000000000000,OTHER,1
61,11899879421757480960,699644000000000000,FALSE ASSERTION,1
46,630286693384318080,11609600000000000000,ANALOGY,2
69,11854247542220259328,17907300000000000000,CONTEXT SHIFT,2
110,7987151303712674816,7829230000000000000,FALSE ASSERTION,1
65,16971453668517500928,15948200000000000000,OTHER,1
6,18184193230015000576,3263700000000000000,OTHER,1
48,393080136253742016,16904200000000000000,CONTEXT SHIFT,1
44,15313632188181430272,1809560000000000000,RHETORICAL QUESTION,2
32,10294703797536010240,14854400000000000000,ANALOGY,1
13,7033897647878070272,4174370000000000000,CONTEXT SHIFT,1
109,1679217763483685120,8067560000000000000,OTHER,2
95,11534803039351519232,14401400000000000000,OTHER,1
93,12561098575626790912,12674400000000000000,EUPHEMISM,1
116,7501166755663576064,17666000000000000000,RHETORICAL QUESTION,1
39,11611645251669049344,7556330000000000000,OTHER,2
58,7954843239286609920,8178510000000000000,FALSE ASSERTION,1
83,15452154017271209984,11998800000000000000,CONTEXT SHIFT,1
96,1236265448438971904,4088920000000000000,FALSE ASSERTION,1
113,15986361946082170880,16848500000000000000,HYPERBOLE,2
111,8553934668525359104,6122080000000000000,FALSE ASSERTION,2
23,15318882553031809024,1457720000000000000,CONTEXT SHIFT,2
28,10742053278056030208,6975850000000000000,OTHER,1
20,7462581045673427968,14235400000000000000,RHETORICAL QUESTION,2
97,9838181499890583552,10423300000000000000,HYPERBOLE,1
22,10765217889857900544,12979700000000000000,RHETORICAL QUESTION,2
45,18387398790699239424,14325300000000000000,CONTEXT SHIFT,1
76,4712286480051747840,4224410000000000000,OTHER,1
94,12802596261741490176,6395060000000000000,FALSE ASSERTION,2
57,6386761469479286784,6876180000000000000,CONTEXT SHIFT,1
75,6358833546371151872,2866560000000000000,ANALOGY,1
105,15909640808401659904,4919990000000000000,FALSE ASSERTION,1
59,492369763312032128,17520700000000000000,ANALOGY,1
53,14048408814207320064,15664700000000000000,HYPERBOLE,1
26,5168625731641847808,6591050000000000000,HYPERBOLE,1
118,16565537520034279424,12210400000000000000,OTHER,2
62,8482609725250125824,11859000000000000000,EUPHEMISM,1
18,17571549064257740800,12383100000000000000,OTHER,1
21,13615235974994190336,17921100000000000000,FALSE ASSERTION,1
47,18083945283865270272,13051300000000000000,FALSE ASSERTION,1
84,15145496112429019136,11505300000000000000,ANALOGY,2
88,9408805770120683520,2035190000000000000,HYPERBOLE,2
35,955066013186157056,7841040000000000000,ANALOGY,1
66,13943343828615460864,9688060000000000000,ANALOGY,1
56,3564946252259166208,11499800000000000000,RHETORICAL QUESTION,2
14,14927487631298500608,3984510000000000000,FALSE ASSERTION,1
87,11755500963030939648,12431600000000000000,OTHER,2
82,13415829529808369664,7787860000000000000,OXYMORON,1
120,17406266981620549632,13932800000000000000,RHETORICAL QUESTION,1
121,10279940017783449600,2387680000000000000,RHETORICAL QUESTION,2
10,8374295896122236928,9960700000000000000,CONTEXT SHIFT,1
33,1387389979920722944,7871260000000000000,OXYMORON,1
98,3078947007140050944,10710000000000000000,ANALOGY,1
106,702317291372904320,2344620000000000000,FALSE ASSERTION,2
81,5724857037789025280,13083000000000000000,OXYMORON,2
107,3045493691802176000,2186550000000000000,CONTEXT SHIFT,2
91,16626886395331850240,7533790000000000000,FALSE ASSERTION,1
71,14468596749483630592,4827130000000000000,CONTEXT SHIFT,1
37,4178595591294574080,16143900000000000000,FALSE ASSERTION,2
68,16300389213436499968,7681940000000000000,OTHER,2
16,3045493691802176000,5881810000000000000,CONTEXT SHIFT,2
1,4824587311292975104,4652170000000000000,RHETORICAL QUESTION,2
15,13999466197412390912,8582060000000000000,OTHER,1
79,5969871576465133568,14017200000000000000,FALSE ASSERTION,2
103,364716304175925376,7002360000000000000,HYPERBOLE,1
102,12148897515124049920,10230900000000000000,RHETORICAL QUESTION,1
34,8657171621256952832,5812260000000000000,CONTEXT SHIFT,1
60,9470135544203663360,7580360000000000000,OXYMORON,2
19,1894119167367809024,9033280000000000000,OTHER,2
30,16167343742615099392,5036060000000000000,RHETORICAL QUESTION,2
8,457436274759233728,11247500000000000000,CONTEXT SHIFT,1
5,6878336134883742720,15991800000000000000,OTHER,1
49,11926712388159440896,17502200000000000000,OTHER,1
89,1679217763483685120,6187690000000000000,OTHER,1
63,2968926351009075200,10391400000000000000,OTHER,2
64,7477401530957351936,1206180000000000000,OXYMORON,2
114,16653175777918050304,11658100000000000000,FALSE ASSERTION,1
100,10426144657201930240,4379940000000000000,HYPERBOLE,2
117,18298855339031560192,12680200000000000000,OXYMORON,1
42,11369149162983489536,7888320000000000000,OTHER,2
